Date,DHI,DNI,GHI,Horizontal UVI<400nm,Solar Zenith,Cloud Type,Relative Humidity,Temperature,Precipitable Water,SOLAR
2019-08-14 12:00:00,115,949,995,60.9364,21.93,0,6.67,43.3,1.2,10946
2019-08-14 13:00:00,114,933,931,56.5457,28.88,0,6.26,43.8,1.2,10945
2019-08-14 14:00:00,108,904,807,48.0945,39.32,0,6.15,43.6,1.2,10824
2019-08-14 15:00:00,99,851,634,36.4806,51.06,0,6.14,43.4,1.2,10435
2019-08-14 16:00:00,85,757,426,23.0101,63.23,0,6.97,41.2,1.2,9704
2019-08-14 17:00:00,62,577,207,10.085,75.43,0,9.11,37.3,1.2,7962
2019-08-14 18:00:00,20,152,27,0.0,87.26,0,12.71,33.1,1.3,3819
2019-08-14 19:00:00,0,0,0,0.0,99.01,0,15.32,31.1,1.3,333
2019-08-14 20:00:00,0,0,0,0.0,109.66,0,17.52,29.9,1.3,0
2019-08-14 21:00:00,0,0,0,0.0,118.94,0,19.67,28.8,1.4,0
2019-08-14 22:00:00,0,0,0,0.0,126.07,0,21.8,27.8,1.4,0
2019-08-14 23:00:00,0,0,0,0.0,130.09,0,23.75,27.0,1.4,0
2019-08-15 00:00:00,0,0,0,0.0,130.21,0,25.76,26.2,1.4,0
2019-08-15 01:00:00,0,0,0,0.0,126.42,0,26.98,25.7,1.4,0
2019-08-15 02:00:00,0,0,0,0.0,119.45,0,27.9,25.1,1.4,0
2019-08-15 03:00:00,0,0,0,0.0,110.28,0,28.24,24.7,1.4,0
2019-08-15 04:00:00,0,0,0,0.0,99.7,0,27.86,24.6,1.4,0
2019-08-15 05:00:00,17,137,22,0.0,87.95,0,24.35,26.5,1.4,0
2019-08-15 06:00:00,59,565,194,9.3934,76.19,0,19.32,30.2,1.4,460
2019-08-15 07:00:00,82,748,410,22.0261,64.01,0,15.36,34.1,1.4,4271
2019-08-15 08:00:00,98,840,617,35.3939,51.84,0,12.85,37.6,1.4,8394
2019-08-15 09:00:00,106,896,791,47.0559,40.1,0,11.27,40.0,1.4,9895
2019-08-15 10:00:00,110,930,919,55.7591,29.6,0,10.01,41.8,1.4,10509
2019-08-15 11:00:00,113,945,986,60.3543,22.44,0,8.99,43.1,1.4,10754
2019-08-15 12:00:00,112,946,988,60.489,22.24,0,8.22,43.9,1.4,10825
2019-08-15 13:00:00,109,934,925,56.1597,29.15,0,7.8,44.2,1.4,10770
2019-08-15 14:00:00,103,907,802,47.7714,39.55,0,7.73,44.0,1.4,10670
2019-08-15 15:00:00,93,857,629,36.1635,51.27,0,7.77,43.7,1.4,10379
2019-08-15 16:00:00,80,768,423,22.8151,63.44,0,8.74,41.5,1.4,9598
2019-08-15 17:00:00,57,595,205,9.97,75.64,0,11.03,37.7,1.4,7880
2019-08-15 18:00:00,19,168,26,0.0,87.48,0,14.75,33.5,1.4,3764
2019-08-15 19:00:00,0,0,0,0.0,99.24,0,17.1,31.5,1.4,431
2019-08-15 20:00:00,0,0,0,0.0,109.92,0,18.98,30.1,1.4,64
2019-08-15 21:00:00,0,0,0,0.0,119.23,0,20.52,29.2,1.4,67
